Province,Date,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan),Building Type
Guangdong,2022/08,8851.16,1054.08,Commercialized Residential Buildings Sold
Guangdong,2022/07,7797.08,1024.34,Commercialized Residential Buildings Sold
Guangdong,2022/06,6772.74,1615.2,Commercialized Residential Buildings Sold
Guangdong,2022/05,5157.54,1292.65,Commercialized Residential Buildings Sold
Guangdong,2022/04,3864.89,937.23,Commercialized Residential Buildings Sold
Guangdong,2022/03,2927.66,1279.7,Commercialized Residential Buildings Sold
Guangdong,2022/02,1647.96,1647.96,Commercialized Residential Buildings Sold
Guangdong,2022/01,0,,Commercialized Residential Buildings Sold
Guangdong,2021/12,19457.63,2002.03,Commercialized Residential Buildings Sold
Guangdong,2021/11,17455.6,1590.68,Commercialized Residential Buildings Sold
Guangdong,2021/10,15864.92,1376.58,Commercialized Residential Buildings Sold
Guangdong,2021/09,14488.34,1606.36,Commercialized Residential Buildings Sold
Guangdong,2021/08,12881.98,1167.93,Commercialized Residential Buildings Sold
Guangdong,2021/07,11714.05,1445.9,Commercialized Residential Buildings Sold
Guangdong,2021/06,10268.15,1926.55,Commercialized Residential Buildings Sold
Guangdong,2021/05,8341.6,1765,Commercialized Residential Buildings Sold
Guangdong,2021/04,6576.6,1752.25,Commercialized Residential Buildings Sold
Guangdong,2021/03,4824.35,2068.47,Commercialized Residential Buildings Sold
Guangdong,2021/02,2755.88,2755.88,Commercialized Residential Buildings Sold
Guangdong,2021/01,0,,Commercialized Residential Buildings Sold
Guangdong,2020/12,19829.63,3150.76,Commercialized Residential Buildings Sold
Guangdong,2020/11,16678.87,2184.49,Commercialized Residential Buildings Sold
Guangdong,2020/10,14494.38,1985.11,Commercialized Residential Buildings Sold
Guangdong,2020/09,12509.27,2465.15,Commercialized Residential Buildings Sold
Guangdong,2020/08,10044.12,1839.04,Commercialized Residential Buildings Sold
Guangdong,2020/07,8205.08,1760.17,Commercialized Residential Buildings Sold
Guangdong,2020/06,6444.91,1858.17,Commercialized Residential Buildings Sold
Guangdong,2020/05,4586.74,1275.96,Commercialized Residential Buildings Sold
Guangdong,2020/04,3310.78,1108.26,Commercialized Residential Buildings Sold
Guangdong,2020/03,2202.52,1282.36,Commercialized Residential Buildings Sold
Guangdong,2020/02,920.16,920.16,Commercialized Residential Buildings Sold
Guangdong,2020/01,0,,
