Building Type,Date,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan)
Commercialized Residential Buildings Sold,2020-02-01,11.07,
Commercialized Residential Buildings Sold,2020-03-01,63.33,52.26
Commercialized Residential Buildings Sold,2020-04-01,121.19,57.86
Commercialized Residential Buildings Sold,2020-05-01,182.51,61.32
Commercialized Residential Buildings Sold,2020-06-01,247.29,64.78
Commercialized Residential Buildings Sold,2020-07-01,338.3,91.01
Commercialized Residential Buildings Sold,2020-08-01,460.22,121.92
Commercialized Residential Buildings Sold,2020-09-01,573.43,113.21
Commercialized Residential Buildings Sold,2020-10-01,701.18,127.75
Commercialized Residential Buildings Sold,2020-11-01,833.26,132.08
Commercialized Residential Buildings Sold,2020-12-01,946.15,112.89
Commercialized Residential Buildings Sold,2021-01-01,0,
Commercialized Residential Buildings Sold,2021-02-01,26.77,26.77
Commercialized Residential Buildings Sold,2021-03-01,92.11,65.34
Commercialized Residential Buildings Sold,2021-04-01,154.18,62.07
Commercialized Residential Buildings Sold,2021-05-01,223.74,69.56
Commercialized Residential Buildings Sold,2021-06-01,303.38,79.64
Commercialized Residential Buildings Sold,2021-07-01,366.28,62.9
Commercialized Residential Buildings Sold,2021-08-01,443.04,76.76
Commercialized Residential Buildings Sold,2021-09-01,521.19,78.15
Commercialized Residential Buildings Sold,2021-10-01,586.27,65.08
Commercialized Residential Buildings Sold,2021-11-01,674.08,87.81
Commercialized Residential Buildings Sold,2021-12-01,751.89,77.81
Commercialized Residential Buildings Sold,2022-01-01,0,
Commercialized Residential Buildings Sold,2022-02-01,35.17,35.17
Commercialized Residential Buildings Sold,2022-03-01,81.52,46.35
Commercialized Residential Buildings Sold,2022-04-01,102.96,21.44
Commercialized Residential Buildings Sold,2022-05-01,141.92,38.96
Commercialized Residential Buildings Sold,2022-06-01,195.06,53.14
Commercialized Residential Buildings Sold,2022-07-01,252.74,57.68
Commercialized Residential Buildings Sold,2022-08-01,307.76,55.02
